index,cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year,frpm_simulado,profes_simulado,Tasa_Participacion,Puntaje_Global,Categoria_Rendimiento,Radio_Alumno_Profesor,Excepcion_Positiva,Es_Alta_Vulnerabilidad,porcentaje_eligibilidad_comidas_gratuitas,NumTeachers,Nivel_Vulnerabilidad
205,9618530932756,S,EL DORADO HIGH,EL DORADO UNION HIGH,EL DORADO,300,103,571.9744144021297,549.4121878129994,516.1110941983019,62.0,60.19,1415,0.1536607294800389,16,34.333333333333336,1637.4976964134312,Alto Rendimiento,6.38,0,0,0.31,47,Baja
206,9618530936302,S,PONDEROSA HIGH,EL DORADO UNION HIGH,EL DORADO,429,221,528.0769956703463,598.2012993264988,508.1333847397941,156.0,70.59,1415,0.6826935320196656,17,51.51515151515152,1634.4116797366391,Alto Rendimiento,10.72,0,1,0.09,40,Baja
207,9619030000000,D,,LAKE TAHOE UNIFIED,EL DORADO,289,89,485.5118914690651,523.4021571412629,497.23801331063777,47.0,52.81,1415,0.3423923345484957,0,30.79584775086505,1506.152061920966,Rendimiento Medio,5.16,0,0,0.69,56,Alta
208,9619030937805,S,SOUTH TAHOE HIGH,LAKE TAHOE UNIFIED,EL DORADO,228,89,487.6281293760119,515.9762175698868,503.8695575992512,47.0,52.81,1415,0.1747179484581673,12,39.03508771929825,1507.47390454515,Rendimiento Medio,3.04,0,0,0.08,75,Baja
209,9737830000000,D,,BLACK OAK MINE UNIFIED,EL DORADO,102,30,531.1086623939382,562.3945784747606,472.8752783565408,17.0,56.67,1415,0.6794633888224534,0,29.411764705882355,1566.3785192252396,Alto Rendimiento,1.85,1,1,0.08,55,Baja
210,9737830930073,S,GOLDEN SIERRA JUNIOR SENIOR HIGH,BLACK OAK MINE UNIFIED,EL DORADO,90,30,512.6886686240928,562.950784788067,505.6132163710106,17.0,56.67,1415,0.6720136479118625,4,33.33333333333333,1581.2526697831704,Alto Rendimiento,0.62,0,1,0.22,144,Baja
211,10000000000000,C,,,FRESNO,14980,5992,432.4729681626415,473.3871238862146,428.14896541255376,1631.0,27.22,1415,0.0,0,40.0,1334.0090574614098,Bajo Rendimiento / Riesgo,132.57,0,0,0.03,113,Baja
216,10621170000000,D,,CLOVIS UNIFIED,FRESNO,3209,1556,485.736846614216,499.73431303089353,468.5757866684604,740.0,47.56,1415,0.4796275719942553,0,48.48862574010595,1454.04694631357,Rendimiento Medio,28.65,0,0,0.23,112,Baja
217,10621170113555,S,CLOVIS NORTH HIGH,CLOVIS UNIFIED,FRESNO,587,348,507.0818923988126,526.9462515652939,502.5885952239011,213.0,61.21,1415,0.3788521314366553,20,59.28449744463373,1536.6167391880076,Rendimiento Medio,13.04,0,0,0.2,45,Baja
219,10621171030196,S,CLOVIS WEST HIGH,CLOVIS UNIFIED,FRESNO,497,278,480.6746809546281,498.82483348977513,474.4976048553373,140.0,50.36,1415,0.3639229508431504,23,55.93561368209256,1453.9971192997405,Rendimiento Medio,3.85,0,0,0.47,129,Media
221,10621171030501,S,BUCHANAN HIGH,CLOVIS UNIFIED,FRESNO,665,352,509.9248717456442,527.7370860351931,515.749168223927,191.0,54.26,1415,0.8474340363390731,22,52.93233082706767,1553.4111260047644,Alto Rendimiento,10.73,0,1,0.39,62,Media
222,10621171030683,S,CLOVIS EAST HIGH,CLOVIS UNIFIED,FRESNO,478,254,453.7633959252221,438.1025204354054,467.6677975017322,66.0,25.98,1415,0.4078166713547938,19,53.13807531380753,1359.5337138623595,Bajo Rendimiento / Riesgo,29.88,0,0,0.17,16,Baja
223,10621171031053,S,CLOVIS HIGH,CLOVIS UNIFIED,FRESNO,772,316,497.4526841198544,496.0242812805273,475.5014692429896,127.0,40.19,1415,0.4640274416681798,33,40.93264248704664,1468.9784346433712,Rendimiento Medio,6.71,0,0,0.16,115,Baja
224,10621250000000,D,,COALINGA-HURON UNIFIED,FRESNO,311,77,444.08962096368384,440.9884217846395,414.0129849354973,16.0,20.78,1415,0.5707969585695033,0,24.758842443729904,1299.0910276838206,Bajo Rendimiento / Riesgo,2.19,0,1,0.04,142,Baja
225,10621251031376,S,COALINGA HIGH,COALINGA-HURON UNIFIED,FRESNO,249,77,438.01659208544777,450.5578489674116,418.1238267791078,16.0,20.78,1415,0.6554496567419159,13,30.923694779116467,1306.698267831967,Bajo Rendimiento / Riesgo,3.41,0,1,0.35,73,Media
226,10621580000000,D,,FOWLER UNIFIED,FRESNO,182,99,434.76139738866783,401.943596981604,440.15685700477474,16.0,16.16,1415,0.5600142778615862,0,54.3956043956044,1276.8618513750466,Bajo Rendimiento / Riesgo,1.36,0,1,0.29,134,Baja
227,10621581032150,S,FOWLER HIGH,FOWLER UNIFIED,FRESNO,175,99,427.4591001953189,411.4166273740673,437.6292973261543,16.0,16.16,1415,0.7703370463255521,10,56.57142857142857,1276.5050248955404,Bajo Rendimiento / Riesgo,3.37,0,1,0.06,52,Baja
228,10621660000000,D,,FRESNO UNIFIED,FRESNO,4928,2207,441.35392447181454,439.2898946826336,439.622706667439,458.0,20.75,1415,0.4868981960007889,0,44.7849025974026,1320.2665258218872,Bajo Rendimiento / Riesgo,40.73,0,0,0.13,121,Baja
229,10621660108555,S,DESIGN SCIENCE EARLY COLLEGE HIGH,FRESNO UNIFIED,FRESNO,52,53,478.2290886301832,479.5768812843521,429.1034394948382,18.0,33.96,1415,0.5651310339307489,2,100.0,1386.9094094093734,Bajo Rendimiento / Riesgo,1.49,0,1,0.51,35,Media
231,10621660114553,S,UNIVERSITY HIGH,FRESNO UNIFIED,FRESNO,120,111,556.9022644458321,552.9923455554256,569.3296558657746,90.0,81.08,1415,0.4388352885940366,5,92.5,1679.2242658670325,Alto Rendimiento,2.14,0,0,0.33,56,Baja
232,10621661030279,S,BULLARD HIGH,FRESNO UNIFIED,FRESNO,612,317,489.9999893037093,466.7720823463071,471.24199189988735,97.0,30.6,1415,0.6369327025477648,23,51.79738562091504,1428.0140635499038,Rendimiento Medio,25.5,0,1,0.43,24,Media
234,10621661030295,S,ERMA DUNCAN POLYTECHNICAL HIGH,FRESNO UNIFIED,FRESNO,209,98,411.1226783245852,410.0435838877624,392.8933751162259,7.0,7.14,1415,0.5837125362218885,7,46.889952153110045,1214.0596373285734,Bajo Rendimiento / Riesgo,1.42,0,1,0.33,147,Baja
236,10621661030675,S,SUNNYSIDE HIGH,FRESNO UNIFIED,FRESNO,676,449,389.828868511715,415.8470164728499,406.1074712777132,47.0,10.47,1415,0.7059381318939589,26,66.42011834319527,1211.7833562622782,Bajo Rendimiento / Riesgo,14.38,0,1,0.12,47,Baja
238,10621661031897,S,EDISON HIGH,FRESNO UNIFIED,FRESNO,543,413,475.29845676581874,457.7331585697268,427.53495344839945,123.0,29.78,1415,0.5617415868638733,19,76.05893186003682,1360.566568783945,Bajo Rendimiento / Riesgo,6.54,0,1,0.1,83,Baja
239,10621661032507,S,FRESNO HIGH,FRESNO UNIFIED,FRESNO,509,132,418.3882013620288,405.4881691078219,397.3207247327728,16.0,12.12,1415,0.4866810229202866,26,25.93320235756385,1221.1970952026234,Bajo Rendimiento / Riesgo,5.41,0,0,0.18,94,Baja
240,10621661032911,S,HERBERT HOOVER HIGH,FRESNO UNIFIED,FRESNO,361,202,413.7454416776943,411.079104445109,395.38095882343737,37.0,18.32,1415,0.5996278681336591,22,55.95567867036011,1220.2055049462406,Bajo Rendimiento / Riesgo,3.14,0,1,0.08,115,Baja
241,10621661034214,S,MCLANE HIGH,FRESNO UNIFIED,FRESNO,407,172,369.4994291368105,377.8830143676195,369.3789317247018,4.0,2.33,1415,0.1953975161380778,20,42.26044226044226,1116.7613752291318,Bajo Rendimiento / Riesgo,9.47,0,0,0.49,43,Media
242,10621661035831,S,ROOSEVELT HIGH,FRESNO UNIFIED,FRESNO,442,242,374.3841484180522,366.1550594757032,387.1196775762813,12.0,4.96,1415,0.5559886511996919,24,54.75113122171946,1127.6588854700367,Bajo Rendimiento / Riesgo,2.99,0,1,0.15,148,Baja
243,10622570000000,D,,KINGSBURG JOINT UNION HIGH,FRESNO,286,109,453.6306189104845,464.9737633888336,458.37255526671805,32.0,29.36,1415,0.716191453418405,0,38.111888111888106,1376.9769375660362,Bajo Rendimiento / Riesgo,4.27,0,1,0.17,67,Baja
245,10622571033695,S,KINGSBURG HIGH,KINGSBURG JOINT UNION HIGH,FRESNO,256,108,464.8280106142002,483.735550983226,464.11353606424063,32.0,29.63,1415,0.5424620660913196,16,42.1875,1412.6770976616667,Rendimiento Medio,1.86,0,0,0.39,138,Media
247,10622650000000,D,,KINGS CANYON JOINT UNIFIED,FRESNO,735,225,445.42894020384426,438.9756224916528,444.9198783180552,39.0,17.33,1415,0.4550997645412056,0,30.612244897959183,1329.3244410135524,Bajo Rendimiento / Riesgo,13.12,0,0,0.22,56,Baja
248,10622650108092,S,ORANGE COVE HIGH,KINGS CANYON JOINT UNIFIED,FRESNO,152,70,436.2262576583885,402.6872818674675,421.5909510756342,9.0,12.86,1415,0.6235275560584536,5,46.05263157894737,1260.5044906014905,Bajo Rendimiento / Riesgo,2.49,0,1,0.41,61,Media
252,10622651035310,S,REEDLEY HIGH,KINGS CANYON JOINT UNIFIED,FRESNO,395,144,451.29524577386246,456.0309020317147,423.86611421014686,29.0,20.14,1415,0.4987789775844174,15,36.45569620253165,1331.192262015724,Bajo Rendimiento / Riesgo,15.8,0,0,0.13,25,Baja
255,10623640000000,D,,PARLIER UNIFIED,FRESNO,223,113,364.3702647200075,386.1776801642003,367.1926086902478,5.0,4.42,1415,0.4348666041569666,0,50.67264573991032,1117.7405535744556,Bajo Rendimiento / Riesgo,2.3,0,0,0.19,97,Baja
256,10623641034990,S,PARLIER HIGH,PARLIER UNIFIED,FRESNO,195,113,391.6272026619786,380.82356616316986,353.15261963500524,5.0,4.42,1415,0.1909856504707854,11,57.94871794871796,1125.6033884601536,Bajo Rendimiento / Riesgo,1.59,0,0,0.19,123,Baja
259,10624140000000,D,,SANGER UNIFIED,FRESNO,785,358,438.31450613064726,471.4543693904473,439.8879757266751,77.0,21.51,1415,0.5346946079860554,0,45.60509554140128,1349.6568512477695,Bajo Rendimiento / Riesgo,19.15,0,0,0.44,41,Media
261,10624141030766,S,HALLMARK CHARTER,SANGER UNIFIED,FRESNO,34,21,466.1144149262777,518.8819576954945,486.4678818181587,10.0,47.62,1415,0.645376654318641,1,61.76470588235294,1471.464254439931,Rendimiento Medio,0.45,0,1,0.34,76,Media
263,10624141036094,S,SANGER HIGH,SANGER UNIFIED,FRESNO,665,336,452.5165183694248,471.9115330426621,446.9204652893522,67.0,19.94,1415,0.5120883395091266,27,50.526315789473685,1371.3485167014392,Bajo Rendimiento / Riesgo,4.59,0,0,0.1,145,Baja
264,10624300000000,D,,SELMA UNIFIED,FRESNO,452,166,443.9473659440694,441.00819094019823,433.4179291450411,49.0,29.52,1415,0.4904459221968442,0,36.72566371681416,1318.3734860293089,Bajo Rendimiento / Riesgo,3.86,0,0,0.12,117,Baja
266,10624301036672,S,SELMA HIGH,SELMA UNIFIED,FRESNO,385,166,447.6887231267852,460.4151717318915,440.776606757936,49.0,29.52,1415,0.2532167686943987,22,43.11688311688312,1348.8805016166127,Bajo Rendimiento / Riesgo,6.64,0,0,0.44,58,Media
272,10738090000000,D,,FIREBAUGH-LAS DELTAS UNIFIED,FRESNO,179,86,419.1731392991733,400.1855438119654,423.78759560101247,7.0,8.14,1415,0.6172680437506183,0,48.04469273743017,1243.1462787121511,Bajo Rendimiento / Riesgo,1.67,0,1,0.15,107,Baja
273,10738091030121,S,FIREBAUGH HIGH,FIREBAUGH-LAS DELTAS UNIFIED,FRESNO,170,86,415.1404900501781,382.9614761155116,403.3718921873649,7.0,8.14,1415,0.3044283668978478,7,50.588235294117645,1201.4738583530543,Bajo Rendimiento / Riesgo,3.86,0,0,0.25,44,Baja
274,10739650000000,D,,CENTRAL UNIFIED,FRESNO,1086,428,455.5234338029297,430.07321779109225,429.0446005371327,90.0,21.03,1415,0.5683674459584124,0,39.41068139963168,1314.6412521311547,Bajo Rendimiento / Riesgo,8.17,0,1,0.62,133,Media
276,10739651030626,S,CENTRAL HIGH EAST CAMPUS,CENTRAL UNIFIED,FRESNO,899,427,427.7923632280175,417.1257172574312,416.22221154800576,90.0,21.08,1415,0.6649641799674328,42,47.4972191323693,1261.1402920334544,Bajo Rendimiento / Riesgo,20.91,0,1,0.66,43,Media
277,10739990000000,D,,KERMAN UNIFIED,FRESNO,328,121,452.4297263584302,472.8170861721137,413.8957186059893,23.0,19.01,1415,0.5984655465856695,0,36.89024390243903,1339.142531136533,Bajo Rendimiento / Riesgo,7.45,0,1,0.59,44,Media
278,10739991033430,S,KERMAN HIGH,KERMAN UNIFIED,FRESNO,301,121,468.96048904479056,450.0917331274622,416.2892053032264,23.0,19.01,1415,0.8488432579750648,14,40.19933554817276,1335.3414274754791,Bajo Rendimiento / Riesgo,2.55,0,1,0.25,118,Baja
279,10751270000000,D,,MENDOTA UNIFIED,FRESNO,204,72,382.0856993067998,405.3940784180232,398.4740232838141,6.0,8.33,1415,0.6121431772497504,0,35.294117647058826,1185.9538010086371,Bajo Rendimiento / Riesgo,1.65,0,1,0.37,124,Media
280,10751271030493,S,MENDOTA HIGH,MENDOTA UNIFIED,FRESNO,196,72,412.55999378502753,404.1401718366709,382.1004912713113,6.0,8.33,1415,0.8031793319404904,9,36.734693877551024,1198.8006568930098,Bajo Rendimiento / Riesgo,4.26,0,1,0.36,46,Media
281,10752340000000,D,,GOLDEN PLAINS UNIFIED,FRESNO,122,45,376.439250255122,390.4767961322432,386.2158826300328,3.0,6.67,1415,0.3400449622319494,0,36.885245901639344,1153.131929017398,Bajo Rendimiento / Riesgo,1.88,0,0,0.16,65,Baja
282,10752341037456,S,TRANQUILLITY HIGH,GOLDEN PLAINS UNIFIED,FRESNO,115,45,378.29554765655786,403.0659599110397,400.8030005978383,3.0,6.67,1415,0.599795639674634,4,39.130434782608695,1182.1645081654358,Bajo Rendimiento / Riesgo,2.3,0,1,0.29,50,Baja
283,10752750000000,D,,SIERRA UNIFIED,FRESNO,128,45,520.0971775450948,544.5037183811304,492.9093116919418,28.0,62.22,1415,0.625032183514769,0,35.15625,1557.5102076181672,Alto Rendimiento,1.86,1,1,0.2,69,Baja
284,10752751036938,S,SIERRA HIGH,SIERRA UNIFIED,FRESNO,110,45,542.6271202732626,538.252824719228,501.4362562919897,28.0,62.22,1415,0.4448736373058504,5,40.909090909090914,1582.31620128448,Alto Rendimiento,2.2,0,0,0.25,50,Baja
285,10754080000000,D,,RIVERDALE JOINT UNIFIED,FRESNO,132,69,431.2862007781007,416.73639531262535,423.4551849127536,11.0,15.94,1415,0.6047322702820531,0,52.27272727272727,1271.4777810034795,Bajo Rendimiento / Riesgo,1.89,0,1,0.13,70,Baja
286,10754081035575,S,RIVERDALE HIGH,RIVERDALE JOINT UNIFIED,FRESNO,128,69,403.86161142869054,422.84120194870377,412.6412515103937,11.0,15.94,1415,0.5953241552957629,4,53.90625,1239.344064887788,Bajo Rendimiento / Riesgo,2.56,0,1,0.09,50,Baja
287,10755980000000,D,,CARUTHERS UNIFIED,FRESNO,132,66,429.2646736426806,438.46551092617455,402.0275956831517,15.0,22.73,1415,0.4807589158175538,0,50.0,1269.7577802520068,Bajo Rendimiento / Riesgo,1.28,0,0,0.39,103,Media
288,10755981030535,S,CARUTHERS HIGH,CARUTHERS UNIFIED,FRESNO,127,66,413.1554861790265,456.799735238278,391.3574403865079,15.0,22.73,1415,0.6999561326561624,7,51.96850393700787,1261.3126618038125,Bajo Rendimiento / Riesgo,1.67,0,1,0.22,76,Baja
289,10767780000000,D,,WASHINGTON UNIFIED,FRESNO,435,135,395.11433895210416,412.85963074246393,400.4161376939733,14.0,10.37,1415,0.4410611165814513,0,31.03448275862069,1208.3901073885413,Bajo Rendimiento / Riesgo,3.54,0,0,0.2,123,Baja
292,10767781038306,S,WASHINGTON HIGH,WASHINGTON UNIFIED,FRESNO,237,135,396.05209073339785,416.0616714898749,404.4223499129778,14.0,10.37,1415,0.7378615999449321,9,56.9620253164557,1216.5361121362505,Bajo Rendimiento / Riesgo,2.35,0,1,0.34,101,Media
293,11000000000000,C,,,GLENN,542,108,452.5528434623224,471.1382884154706,468.193337719671,29.0,26.85,1415,0.0,0,19.92619926199262,1391.884469597464,Bajo Rendimiento / Riesgo,6.95,0,0,0.27,78,Baja
300,11626610000000,D,,WILLOWS UNIFIED,GLENN,102,25,465.0422202225914,422.6687084022227,436.70554854766505,7.0,28.0,1415,0.481584526319311,0,24.509803921568626,1324.4164771724793,Bajo Rendimiento / Riesgo,1.44,0,0,0.22,71,Baja
301,11626611132851,S,WILLOWS HIGH,WILLOWS UNIFIED,GLENN,85,25,439.926380104932,418.2987688033043,421.8191118884548,7.0,28.0,1415,0.4035648091566018,3,29.411764705882355,1280.044260796691,Bajo Rendimiento / Riesgo,0.67,0,0,0.15,127,Baja
302,11754810000000,D,,ORLAND JOINT UNIFIED,GLENN,188,46,430.6050600349251,474.95421623139424,449.45325810924754,10.0,21.74,1415,0.6125075055106248,0,24.46808510638298,1355.012534375567,Bajo Rendimiento / Riesgo,2.24,0,1,0.26,84,Baja
303,11754811135656,S,ORLAND HIGH,ORLAND JOINT UNIFIED,GLENN,173,46,417.3344614927161,463.38177392974313,447.9476722880545,10.0,21.74,1415,0.3841579021193524,5,26.589595375722546,1328.6639077105135,Bajo Rendimiento / Riesgo,5.09,0,0,0.35,34,Media
304,11765620000000,D,,HAMILTON UNIFIED,GLENN,87,33,462.67015730344633,453.0749143853695,483.7230676536024,11.0,33.33,1415,0.2548084025412784,0,37.93103448275862,1399.4681393424182,Bajo Rendimiento / Riesgo,1.28,0,0,0.3,68,Baja
305,11765621133701,S,HAMILTON HIGH,HAMILTON UNIFIED,GLENN,80,33,472.0387771872153,459.7353768449169,466.9381318627084,11.0,33.33,1415,0.1683376959724453,2,41.25,1398.7122858948403,Bajo Rendimiento / Riesgo,5.33,0,0,0.88,15,Alta
306,12000000000000,C,,,HUMBOLDT,1397,443,540.5274128052978,538.3264144311644,515.0068971191971,239.0,53.95,1415,0.0,0,31.71080887616321,1593.8607243556594,Alto Rendimiento,13.43,0,0,0.21,104,Baja
307,12101240000000,D,,HUMBOLDT COUNTY OFFICE OF EDUCATION,HUMBOLDT,51,23,576.2798675836879,541.9421213656046,550.9314347901302,15.0,65.22,1415,0.318490091840954,0,45.09803921568628,1669.1534237394228,Alto Rendimiento,0.4,0,0,0.19,127,Baja
308,12101240115097,S,NORTHCOAST PREPARATORY AND PERFORMING ARTS ACADEMY,HUMBOLDT COUNTY OFFICE OF EDUCATION,HUMBOLDT,27,23,590.8018853057882,497.6649279046769,554.9773612306932,15.0,65.22,1415,0.1669342347239486,1,85.18518518518519,1643.4441744411583,Alto Rendimiento,1.0,0,0,0.23,27,Baja
309,12626870000000,D,,NORTHERN HUMBOLDT UNION HIGH,HUMBOLDT,443,187,554.845722227927,563.8132935381201,545.8520708245987,118.0,63.1,1415,0.4351537353645892,0,42.21218961625282,1664.5110865906458,Alto Rendimiento,3.57,0,0,0.27,124,Baja
311,12626871230705,S,ARCATA HIGH,NORTHERN HUMBOLDT UNION HIGH,HUMBOLDT,212,100,562.9835933223786,579.0997518280005,565.6484930362285,80.0,80.0,1415,0.3411495669809686,11,47.16981132075472,1707.7318381866075,Alto Rendimiento,2.02,0,0,0.17,105,Baja
312,12626871235209,S,MCKINLEYVILLE HIGH,NORTHERN HUMBOLDT UNION HIGH,HUMBOLDT,166,81,528.1992890845368,519.8252371386079,474.04574585953577,36.0,44.44,1415,0.5126551363671707,5,48.795180722891565,1522.0702720826805,Rendimiento Medio,1.52,0,0,0.45,109,Media
313,12628100000000,D,,FORTUNA UNION HIGH,HUMBOLDT,260,87,490.4394033323271,509.1313689060737,479.3331626500828,40.0,45.98,1415,0.5260551827285204,0,33.46153846153846,1478.9039348884835,Rendimiento Medio,4.56,0,0,0.27,57,Baja
314,12628100108688,S,ACADEMY OF THE REDWOODS,FORTUNA UNION HIGH,HUMBOLDT,45,28,609.731818259881,549.3697203511713,538.0343568131731,21.0,75.0,1415,0.3591079015121411,1,62.22222222222222,1697.1358954242255,Alto Rendimiento,0.51,0,0,0.05,88,Baja
315,12628101233402,S,FORTUNA UNION HIGH,FORTUNA UNION HIGH,HUMBOLDT,170,59,491.2720472055762,459.74129079813406,434.9666551737912,19.0,32.2,1415,0.8084754715807383,7,34.705882352941174,1385.9799931775017,Bajo Rendimiento / Riesgo,6.07,0,1,0.03,28,Baja
316,12629010000000,D,,KLAMATH-TRINITY JOINT UNIFIED,HUMBOLDT,75,17,435.0717808575191,449.3586216880578,415.3892446801741,4.0,23.53,1415,0.2674702194633015,0,22.666666666666664,1299.819647225751,Bajo Rendimiento / Riesgo,0.66,0,0,0.22,113,Baja
317,12629011234004,S,HOOPA VALLEY HIGH,KLAMATH-TRINITY JOINT UNIFIED,HUMBOLDT,53,17,435.53961696043046,438.2911502357549,402.6733439032786,4.0,23.53,1415,0.3315077312060416,3,32.075471698113205,1276.504111099464,Bajo Rendimiento / Riesgo,0.43,0,0,0.0,123,
322,12630400000000,D,,SOUTHERN HUMBOLDT JOINT UNIFIED,HUMBOLDT,54,18,522.3574679873991,502.89212947830833,512.090513635759,11.0,61.11,1415,0.5204029397882469,0,33.33333333333333,1537.3401111014664,Rendimiento Medio,0.49,0,0,0.26,110,Baja
323,12630401237007,S,SOUTH FORK JUNIOR - SENIOR HIGH,SOUTHERN HUMBOLDT JOINT UNIFIED,HUMBOLDT,49,18,510.4038422884204,523.5760826529443,510.05821272410697,11.0,61.11,1415,0.739353496754266,1,36.734693877551024,1544.0381376654714,Alto Rendimiento,0.68,0,1,0.05,72,Baja
324,12753740000000,D,,FERNDALE UNIFIED,HUMBOLDT,47,17,489.7108403623459,518.0774706798594,462.3482773305044,8.0,47.06,1415,0.4780131372942968,0,36.17021276595745,1470.13658837271,Rendimiento Medio,0.43,0,0,0.03,110,Baja
325,12753741232909,S,FERNDALE HIGH,FERNDALE UNIFIED,HUMBOLDT,47,17,473.3107301181971,501.45193080822537,494.90172272001786,8.0,47.06,1415,0.2802709924923941,1,36.17021276595745,1469.6643836464405,Rendimiento Medio,0.9,0,0,0.54,52,Media
329,12755150000000,D,,EUREKA CITY SCHOOLS,HUMBOLDT,282,87,493.57667063440783,501.1549584401549,468.90486453213646,37.0,42.53,1415,0.5852330815085541,0,30.851063829787236,1463.636493606699,Rendimiento Medio,3.62,0,1,0.22,78,Baja
330,12755151232206,S,EUREKA SENIOR HIGH,EUREKA CITY SCHOOLS,HUMBOLDT,215,87,514.3444464037508,473.9539250370142,456.4785523958017,37.0,42.53,1415,0.4880782104597486,8,40.46511627906977,1444.7769238365668,Rendimiento Medio,9.35,0,0,0.06,23,Baja
331,13000000000000,C,,,IMPERIAL,2674,867,479.6225405473666,454.1374270509744,444.8691009687305,264.0,30.45,1415,0.0,0,32.42333582647719,1378.6290685670715,Bajo Rendimiento / Riesgo,19.81,0,0,0.05,135,Baja
333,13630810000000,D,,BRAWLEY UNION HIGH,IMPERIAL,442,139,437.4154514968124,457.0253890297192,460.54370118547786,38.0,27.34,1415,0.5425038503557512,0,31.447963800904976,1354.9845417120096,Bajo Rendimiento / Riesgo,9.61,0,0,0.5,46,Media
334,13630811331404,S,BRAWLEY HIGH,BRAWLEY UNION HIGH,IMPERIAL,334,139,463.041638358011,452.1055573110385,448.486909467777,38.0,27.34,1415,0.2434359806911606,11,41.61676646706587,1363.6341051368263,Bajo Rendimiento / Riesgo,13.36,0,0,0.15,25,Baja
335,13630990000000,D,,CALEXICO UNIFIED,IMPERIAL,755,210,455.6815236509535,450.1635386273725,427.0623165902322,48.0,22.86,1415,0.4209302678964945,0,27.81456953642384,1332.9073788685582,Bajo Rendimiento / Riesgo,6.34,0,0,0.05,119,Baja
336,13630991332204,S,CALEXICO HIGH,CALEXICO UNIFIED,IMPERIAL,689,210,467.0185879834197,471.622501773713,447.21100715892106,48.0,22.86,1415,0.2064210596299872,38,30.478955007256893,1385.8520969160538,Bajo Rendimiento / Riesgo,7.18,0,0,0.07,96,Baja
337,13631070000000,D,,CALIPATRIA UNIFIED,IMPERIAL,77,32,483.1560272246911,457.8302465488416,447.6075740031084,9.0,28.13,1415,0.6654806922052624,0,41.55844155844156,1388.5938477766413,Bajo Rendimiento / Riesgo,1.51,0,1,0.54,51,Media
338,13631071332501,S,CALIPATRIA HIGH,CALIPATRIA UNIFIED,IMPERIAL,77,32,464.0119834872009,480.6653424119384,463.9969086015733,9.0,28.13,1415,0.6595575148816356,4,41.55844155844156,1408.6742345007126,Rendimiento Medio,0.8,0,1,0.07,96,Baja
339,13631150000000,D,,CENTRAL UNION HIGH,IMPERIAL,891,313,470.5139659476124,472.8030832867155,446.9208798791655,116.0,37.06,1415,0.5228116581690809,0,35.1290684624018,1390.2379291134937,Bajo Rendimiento / Riesgo,34.27,0,0,0.16,26,Baja
340,13631151330133,S,SOUTHWEST HIGH,CENTRAL UNION HIGH,IMPERIAL,434,174,505.14028463288827,497.562597631341,491.3318130319619,79.0,45.4,1415,0.4975228066487098,25,40.09216589861751,1494.034695296191,Rendimiento Medio,24.11,0,0,0.27,18,Baja
341,13631151333004,S,CENTRAL UNION HIGH,CENTRAL UNION HIGH,IMPERIAL,421,139,467.9848409104669,448.4376192834197,439.4302723948627,37.0,26.62,1415,0.4557954918306256,14,33.0166270783848,1355.8527325887492,Bajo Rendimiento / Riesgo,7.39,0,0,0.4,57,Media
342,13631490000000,D,,HOLTVILLE UNIFIED,IMPERIAL,132,58,429.3979567464319,455.3338367699359,451.059123964754,12.0,20.69,1415,0.5017653686386846,0,43.93939393939394,1335.7909174811218,Bajo Rendimiento / Riesgo,2.03,0,0,0.34,65,Media
343,13631491335306,S,HOLTVILLE HIGH,HOLTVILLE UNIFIED,IMPERIAL,122,58,442.74656881408765,451.4064918113129,419.1001718746053,12.0,20.69,1415,0.6606557600566777,4,47.540983606557376,1313.2532325000057,Bajo Rendimiento / Riesgo,6.42,0,1,0.18,19,Baja
344,13631640000000,D,,IMPERIAL UNIFIED,IMPERIAL,255,102,464.5944151631964,490.47155080391616,462.201019396439,40.0,39.22,1415,0.3957380855187102,0,40.0,1417.2669853635516,Rendimiento Medio,1.72,0,0,0.21,148,Baja
345,13631641335900,S,IMPERIAL HIGH,IMPERIAL UNIFIED,IMPERIAL,246,102,480.85568551841607,465.81657393572175,459.55231316234494,40.0,39.22,1415,0.6858590292937768,12,41.46341463414634,1406.2245726164829,Rendimiento Medio,2.44,0,1,0.28,101,Baja
348,14000000000000,C,,,INYO,1225,106,457.226346268546,442.1364935960258,433.6757299518948,35.0,33.02,1415,0.0,0,8.653061224489795,1333.0385698164666,Bajo Rendimiento / Riesgo,10.21,0,0,0.07,120,Baja
349,14101400000000,D,,INYO COUNTY OFFICE OF EDUCATION,INYO,1008,30,365.5038509824929,344.8690020789929,339.1392952768986,1.0,3.33,1415,0.6386559835922967,0,2.976190476190476,1049.5121483383843,Bajo Rendimiento / Riesgo,14.4,0,1,0.11,70,Baja
352,14101400128454,S,COLLEGE BRIDGE ACADEMY,INYO COUNTY OFFICE OF EDUCATION,INYO,178,20,348.63970479162,341.8094819133729,335.0816494166865,0.0,0.0,1415,0.675962560220332,11,11.235955056179774,1025.5308361216794,Bajo Rendimiento / Riesgo,1.44,0,1,0.32,124,Baja
355,14632890000000,D,,LONE PINE UNIFIED,INYO,38,17,527.2642116750611,517.5557565268564,528.8627446069809,11.0,64.71,1415,0.7956431005350072,0,44.73684210526316,1573.6827128088985,Alto Rendimiento,0.46,1,1,0.27,82,Baja
