index,cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrit,NumGE1500,PctGE1500,year,frpm_simulado,profes_simulado,Tasa_Participacion,Puntaje_Global,Categoria_Rendimiento,Radio_Alumno_Profesor,Excepcion_Positiva,Es_Alta_Vulnerabilidad,Categoria_Visual
419,16638911632207,S,CORCORAN HIGH,CORCORAN JOINT UNIFIED,KINGS,190,66,451.0,438.0,443.0,14.0,21.21,1516,0.47591861269272207,10,34.73684210526316,1332.0,Bajo Rendimiento / Riesgo,19.0,0,0,
420,16639250000000,D,,HANFORD JOINT UNION HIGH,KINGS,890,246,460.0,460.0,448.0,78.0,31.71,1516,0.4543970410821282,0,27.640449438202246,1368.0,Bajo Rendimiento / Riesgo,21.18969810146281,0,0,Distritos
421,16639250118919,S,SIERRA PACIFIC HIGH,HANFORD JOINT UNION HIGH,KINGS,156,46,465.0,465.0,459.0,17.0,36.96,1516,0.5298512442953036,7,29.48717948717949,1389.0,Bajo Rendimiento / Riesgo,22.285714285714285,0,0,
422,16639251630169,S,HANFORD WEST HIGH,HANFORD JOINT UNION HIGH,KINGS,323,112,451.0,457.0,442.0,28.0,25.0,1516,0.3505788764897991,17,34.6749226006192,1350.0,Bajo Rendimiento / Riesgo,19.0,0,0,
423,16639251634401,S,HANFORD HIGH,HANFORD JOINT UNION HIGH,KINGS,316,88,470.0,462.0,450.0,33.0,37.5,1516,0.5635832823983075,10,27.848101265822784,1382.0,Bajo Rendimiento / Riesgo,31.6,0,1,
426,16639820000000,D,,LEMOORE UNION HIGH,KINGS,565,171,485.0,480.0,471.0,65.0,38.01,1516,0.4433890546237848,0,30.265486725663713,1436.0,Rendimiento Medio,26.366666666666664,0,0,Distritos
427,16639820110205,S,LEMOORE MIDDLE COLLEGE HIGH,LEMOORE UNION HIGH,KINGS,65,48,520.0,492.0,496.0,25.0,52.08,1516,0.1761437321244501,2,73.84615384615385,1508.0,Rendimiento Medio,32.5,0,0,
428,16639821635606,S,LEMOORE HIGH,LEMOORE UNION HIGH,KINGS,459,123,471.0,476.0,462.0,40.0,32.52,1516,0.7258203924617608,17,26.797385620915033,1409.0,Rendimiento Medio,27.0,0,1,
429,16739320000000,D,,REEF-SUNSET UNIFIED,KINGS,133,46,383.0,383.0,400.0,3.0,6.52,1516,0.6181463423682144,0,34.58646616541353,1166.0,Bajo Rendimiento / Riesgo,25.928571428571427,0,1,Distritos
430,16739321630953,S,AVENAL HIGH,REEF-SUNSET UNIFIED,KINGS,121,46,383.0,383.0,400.0,3.0,6.52,1516,0.40213344898788406,7,38.01652892561984,1166.0,Bajo Rendimiento / Riesgo,17.285714285714285,0,0,
431,17000000000000,C,,,LAKE,610,180,484.0,479.0,465.0,76.0,42.22,1516,0.0,0,29.508196721311474,1428.0,Rendimiento Medio,,0,0,
432,17640140000000,D,,KELSEYVILLE UNIFIED,LAKE,133,42,453.0,443.0,444.0,13.0,30.95,1516,0.49751242387833566,0,31.57894736842105,1340.0,Bajo Rendimiento / Riesgo,22.755555555555556,0,0,Distritos
433,17640141734359,S,KELSEYVILLE HIGH,KELSEYVILLE UNIFIED,LAKE,128,42,453.0,443.0,444.0,13.0,30.95,1516,0.23894235885631934,5,32.8125,1340.0,Bajo Rendimiento / Riesgo,25.6,0,0,
434,17640220000000,D,,KONOCTI UNIFIED,LAKE,192,30,464.0,435.0,445.0,8.0,26.67,1516,0.539722887732469,0,15.625,1344.0,Bajo Rendimiento / Riesgo,33.30555555555556,0,0,Distritos
437,17640221735000,S,LOWER LAKE HIGH,KONOCTI UNIFIED,LAKE,109,29,464.0,437.0,446.0,8.0,27.59,1516,0.30107471924779017,3,26.605504587155966,1347.0,Bajo Rendimiento / Riesgo,36.333333333333336,0,0,
438,17640300000000,D,,LAKEPORT UNIFIED,LAKE,98,35,500.0,507.0,472.0,18.0,51.43,1516,0.4346430733472279,0,35.714285714285715,1479.0,Rendimiento Medio,28.777777777777782,0,0,Distritos
439,17640301732304,S,CLEAR LAKE HIGH,LAKEPORT UNIFIED,LAKE,74,35,500.0,507.0,472.0,18.0,51.43,1516,0.5860233330733001,3,47.2972972972973,1479.0,Rendimiento Medio,24.666666666666668,0,1,
440,17640550000000,D,,MIDDLETOWN UNIFIED,LAKE,122,51,512.0,520.0,487.0,28.0,54.9,1516,0.372134877911012,0,41.80327868852459,1519.0,Rendimiento Medio,21.994444444444444,0,0,Distritos
442,17640551736008,S,MIDDLETOWN HIGH,MIDDLETOWN UNIFIED,LAKE,107,48,503.0,515.0,477.0,25.0,52.08,1516,0.18617720481802538,5,44.85981308411215,1495.0,Rendimiento Medio,21.4,0,0,
443,17640710000000,D,,UPPER LAKE UNION HIGH,LAKE,62,22,480.0,468.0,471.0,9.0,40.91,1516,0.4423998529099337,0,35.483870967741936,1419.0,Rendimiento Medio,28.5,0,0,Distritos
444,17640711737006,S,UPPER LAKE HIGH,UPPER LAKE UNION HIGH,LAKE,57,22,480.0,468.0,471.0,9.0,40.91,1516,0.5219482420977035,2,38.59649122807017,1419.0,Rendimiento Medio,28.5,0,0,
445,18000000000000,C,,,LASSEN,409,83,503.0,496.0,476.0,39.0,46.99,1516,0.0,0,20.293398533007334,1475.0,Rendimiento Medio,,0,0,
448,18641390000000,D,,LASSEN UNION HIGH,LASSEN,221,69,499.0,500.0,478.0,34.0,49.28,1516,0.5016623687539067,0,31.221719457013574,1477.0,Rendimiento Medio,25.142857142857142,0,0,Distritos
449,18641391833805,S,LASSEN HIGH,LASSEN UNION HIGH,LASSEN,220,69,499.0,500.0,478.0,34.0,49.28,1516,0.5962009310487445,10,31.363636363636367,1477.0,Rendimiento Medio,22.0,0,1,
459,19000000000000,C,,,LOS ANGELES,121303,60458,460.0,471.0,457.0,20306.0,33.59,1516,0.0,0,49.840482098546616,1388.0,Bajo Rendimiento / Riesgo,,0,0,
460,19101990000000,D,,LOS ANGELES COUNTY OFFICE OF EDUCATION,LOS ANGELES,1537,314,514.0,501.0,510.0,167.0,53.18,1516,0.43743235060756613,0,20.429407937540663,1525.0,Rendimiento Medio,24.598765432098766,0,0,Distritos
461,19101990109942,S,LOS ANGELES INTERNATIONAL CHARTER HIGH,LOS ANGELES COUNTY OFFICE OF EDUCATION,LOS ANGELES,60,62,412.0,440.0,431.0,13.0,20.97,1516,0.4572799944939453,2,100.0,1283.0,Bajo Rendimiento / Riesgo,30.0,0,0,
463,19101991933399,S,L.A. COUNTY HIGH SCHOOL FOR THE ARTS,LOS ANGELES COUNTY OFFICE OF EDUCATION,LOS ANGELES,161,124,574.0,532.0,567.0,89.0,71.77,1516,0.16774552039082025,6,77.01863354037268,1673.0,Alto Rendimiento,26.833333333333332,0,0,
465,19101991995869,S,INTERNATIONAL POLYTECHNIC HIGH,LOS ANGELES COUNTY OFFICE OF EDUCATION,LOS ANGELES,130,115,516.0,518.0,508.0,65.0,56.52,1516,0.735186084358544,6,88.46153846153845,1542.0,Alto Rendimiento,21.666666666666668,0,1,
467,19642120000000,D,,ABC UNIFIED,LOS ANGELES,1714,883,514.0,546.0,512.0,490.0,55.49,1516,0.4939216336360309,0,51.516919486581095,1572.0,Alto Rendimiento,23.72429886421822,0,0,Distritos
468,19642121930056,S,CERRITOS HIGH,ABC UNIFIED,LOS ANGELES,530,362,530.0,570.0,526.0,242.0,66.85,1516,0.4362670610899889,33,68.30188679245282,1626.0,Alto Rendimiento,16.060606060606062,0,0,
469,19642121930361,S,ARTESIA HIGH,ABC UNIFIED,LOS ANGELES,355,132,439.0,472.0,435.0,34.0,25.76,1516,0.27130602404959203,14,37.183098591549296,1346.0,Bajo Rendimiento / Riesgo,25.357142857142858,0,0,
472,19642121933159,S,GAHR (RICHARD) HIGH,ABC UNIFIED,LOS ANGELES,428,250,462.0,476.0,460.0,79.0,31.6,1516,0.5344586652942843,16,58.41121495327103,1398.0,Bajo Rendimiento / Riesgo,26.75,0,0,
474,19642460000000,D,,ANTELOPE VALLEY UNION HIGH,LOS ANGELES,6805,1862,457.0,447.0,444.0,502.0,26.96,1516,0.4886897810078749,0,27.36223365172667,1348.0,Bajo Rendimiento / Riesgo,23.122352589346487,0,0,Distritos
475,19642460100081,S,WILLIAM J. (PETE) KNIGHT HIGH,ANTELOPE VALLEY UNION HIGH,LOS ANGELES,666,281,444.0,432.0,439.0,61.0,21.71,1516,0.6121381637024118,41,42.19219219219219,1315.0,Bajo Rendimiento / Riesgo,16.24390243902439,0,1,
476,19642460108407,S,EASTSIDE HIGH,ANTELOPE VALLEY UNION HIGH,LOS ANGELES,497,247,428.0,415.0,414.0,38.0,15.38,1516,0.34595372786215994,31,49.69818913480885,1257.0,Bajo Rendimiento / Riesgo,16.032258064516128,0,0,
477,19642460111872,S,SOAR HIGH (STUDENTS ON ACADEMIC RISE),ANTELOPE VALLEY UNION HIGH,LOS ANGELES,89,85,516.0,511.0,497.0,43.0,50.59,1516,0.8184056964642359,3,95.50561797752809,1524.0,Rendimiento Medio,29.666666666666668,0,1,
480,19642461930213,S,ANTELOPE VALLEY HIGH,ANTELOPE VALLEY UNION HIGH,LOS ANGELES,389,146,407.0,398.0,400.0,14.0,9.59,1516,0.5782045223640465,14,37.53213367609254,1205.0,Bajo Rendimiento / Riesgo,27.785714285714285,0,1,
482,19642461936624,S,PALMDALE HIGH,ANTELOPE VALLEY UNION HIGH,LOS ANGELES,647,201,434.0,421.0,420.0,39.0,19.4,1516,0.3234116926508102,43,31.066460587326123,1275.0,Bajo Rendimiento / Riesgo,15.046511627906977,0,0,
483,19642461937051,S,QUARTZ HILL HIGH,ANTELOPE VALLEY UNION HIGH,LOS ANGELES,755,305,502.0,497.0,488.0,139.0,45.57,1516,0.39918087505588307,41,40.397350993377486,1487.0,Rendimiento Medio,18.414634146341463,0,0,
484,19642461995398,S,HIGHLAND HIGH,ANTELOPE VALLEY UNION HIGH,LOS ANGELES,735,276,476.0,473.0,466.0,105.0,38.04,1516,0.6804922773250583,35,37.55102040816327,1415.0,Rendimiento Medio,21.0,0,1,
485,19642461995406,S,LITTLEROCK HIGH,ANTELOPE VALLEY UNION HIGH,LOS ANGELES,337,119,445.0,412.0,426.0,12.0,10.08,1516,0.1600754420408291,12,35.311572700296736,1283.0,Bajo Rendimiento / Riesgo,28.083333333333332,0,0,
486,19642461995844,S,LANCASTER HIGH,ANTELOPE VALLEY UNION HIGH,LOS ANGELES,531,196,459.0,455.0,442.0,51.0,26.02,1516,0.23125084835484136,23,36.91148775894539,1356.0,Bajo Rendimiento / Riesgo,23.08695652173913,0,0,
488,19642610000000,D,,ARCADIA UNIFIED,LOS ANGELES,872,541,583.0,634.0,585.0,457.0,84.47,1516,0.3434092801268284,0,62.04128440366973,1802.0,Alto Rendimiento,20.64910529429163,0,0,Distritos
489,19642611930288,S,ARCADIA HIGH,ARCADIA UNIFIED,LOS ANGELES,844,532,582.0,634.0,584.0,448.0,84.21,1516,0.1785101616232791,49,63.03317535545023,1800.0,Alto Rendimiento,17.224489795918366,0,0,
491,19642790000000,D,,AZUSA UNIFIED,LOS ANGELES,692,240,444.0,449.0,428.0,49.0,20.42,1516,0.613590786442559,0,34.68208092485549,1321.0,Bajo Rendimiento / Riesgo,24.653452541610438,0,1,Distritos
492,19642791930528,S,AZUSA HIGH,AZUSA UNIFIED,LOS ANGELES,307,140,443.0,451.0,424.0,31.0,22.14,1516,0.6425605015660165,12,45.60260586319218,1318.0,Bajo Rendimiento / Riesgo,25.583333333333332,0,1,
493,19642791933449,S,GLADSTONE HIGH,AZUSA UNIFIED,LOS ANGELES,276,100,445.0,445.0,433.0,18.0,18.0,1516,0.4819216803611276,13,36.231884057971016,1323.0,Bajo Rendimiento / Riesgo,21.23076923076923,0,0,
494,19642870000000,D,,BALDWIN PARK UNIFIED,LOS ANGELES,2102,591,449.0,454.0,445.0,135.0,22.84,1516,0.4521724175484123,0,28.116079923882015,1348.0,Bajo Rendimiento / Riesgo,22.425556479685707,0,0,Distritos
495,19642870114397,S,OPPORTUNITIES FOR LEARNING - BALDWIN PARK II,BALDWIN PARK UNIFIED,LOS ANGELES,699,83,433.0,411.0,430.0,8.0,9.64,1516,0.21848391245570103,33,11.874105865522175,1274.0,Bajo Rendimiento / Riesgo,21.181818181818183,0,0,
496,19642871930601,S,BALDWIN PARK HIGH,BALDWIN PARK UNIFIED,LOS ANGELES,418,183,459.0,486.0,456.0,58.0,31.69,1516,0.49413111258178266,19,43.7799043062201,1401.0,Bajo Rendimiento / Riesgo,22.0,0,0,
497,19642871938166,S,SIERRA VISTA HIGH,BALDWIN PARK UNIFIED,LOS ANGELES,433,212,448.0,462.0,445.0,50.0,23.58,1516,0.48143023954639597,27,48.96073903002309,1355.0,Bajo Rendimiento / Riesgo,16.037037037037038,0,0,
498,19642871996479,S,OPPORTUNITIES FOR LEARNING - BALDWIN PARK,BALDWIN PARK UNIFIED,LOS ANGELES,293,113,446.0,421.0,438.0,19.0,16.81,1516,0.2712413089370106,14,38.56655290102389,1305.0,Bajo Rendimiento / Riesgo,20.928571428571427,0,0,
499,19642950000000,D,,BASSETT UNIFIED,LOS ANGELES,309,111,433.0,438.0,435.0,22.0,19.82,1516,0.4264515954556469,0,35.92233009708738,1306.0,Bajo Rendimiento / Riesgo,18.81795900178253,0,0,Distritos
500,19642951930700,S,BASSETT SENIOR HIGH,BASSETT UNIFIED,LOS ANGELES,266,111,433.0,438.0,435.0,22.0,19.82,1516,0.45369615446658107,16,41.72932330827068,1306.0,Bajo Rendimiento / Riesgo,16.625,0,0,
501,19643030000000,D,,BELLFLOWER UNIFIED,LOS ANGELES,1054,386,480.0,493.0,466.0,144.0,37.31,1516,0.5886103701558371,0,36.62239089184061,1439.0,Rendimiento Medio,23.685633351856257,0,1,Distritos
502,19643031930775,S,BELLFLOWER HIGH,BELLFLOWER UNIFIED,LOS ANGELES,382,160,462.0,475.0,441.0,41.0,25.63,1516,0.4289533140781614,19,41.8848167539267,1378.0,Bajo Rendimiento / Riesgo,20.105263157894736,0,0,
503,19643031935618,S,MAYFAIR HIGH,BELLFLOWER UNIFIED,LOS ANGELES,501,225,494.0,506.0,484.0,103.0,45.78,1516,0.5810950686365515,18,44.91017964071856,1484.0,Rendimiento Medio,27.833333333333332,0,1,
505,19643110000000,D,,BEVERLY HILLS UNIFIED,LOS ANGELES,415,228,569.0,587.0,590.0,179.0,78.51,1516,0.30286504924427465,0,54.93975903614457,1746.0,Alto Rendimiento,20.218921095008053,0,0,Distritos
506,19643111930981,S,BEVERLY HILLS HIGH,BEVERLY HILLS UNIFIED,LOS ANGELES,407,228,569.0,587.0,590.0,179.0,78.51,1516,0.18171280684043115,23,56.01965601965602,1746.0,Alto Rendimiento,17.695652173913043,0,0,
507,19643290000000,D,,BONITA UNIFIED,LOS ANGELES,853,441,496.0,497.0,483.0,190.0,43.08,1516,0.47195987317325905,0,51.69988276670574,1476.0,Rendimiento Medio,24.802219675749086,0,0,Distritos
508,19643291931088,S,BONITA HIGH,BONITA UNIFIED,LOS ANGELES,478,259,488.0,493.0,478.0,105.0,40.54,1516,0.41222883023852985,17,54.18410041841004,1459.0,Rendimiento Medio,28.11764705882353,0,0,
509,19643291937739,S,SAN DIMAS HIGH,BONITA UNIFIED,LOS ANGELES,320,182,508.0,504.0,489.0,85.0,46.7,1516,0.5881019409999654,20,56.875,1501.0,Rendimiento Medio,16.0,0,1,
510,19643370000000,D,,BURBANK UNIFIED,LOS ANGELES,1584,635,521.0,523.0,511.0,352.0,55.43,1516,0.5690207463425692,0,40.08838383838384,1555.0,Alto Rendimiento,20.5980883719523,0,1,Distritos
511,19643371931187,S,BURBANK HIGH,BURBANK UNIFIED,LOS ANGELES,582,284,530.0,544.0,520.0,172.0,60.56,1516,0.5021953810060613,22,48.797250859106526,1594.0,Alto Rendimiento,26.454545454545453,0,0,
512,19643371931237,S,BURROUGHS HIGH,BURBANK UNIFIED,LOS ANGELES,616,322,517.0,512.0,506.0,169.0,52.48,1516,0.7495428888318256,21,52.27272727272727,1535.0,Rendimiento Medio,29.333333333333332,0,1,
514,19643371996099,S,OPTIONS FOR YOUTH-BURBANK CHARTER,BURBANK UNIFIED,LOS ANGELES,231,25,482.0,457.0,468.0,9.0,36.0,1516,0.26405409895700077,11,10.822510822510822,1407.0,Rendimiento Medio,21.0,0,0,
515,19643520000000,D,,CENTINELA VALLEY UNION HIGH,LOS ANGELES,1794,742,407.0,407.0,405.0,84.0,11.32,1516,0.568719522175701,0,41.36008918617614,1219.0,Bajo Rendimiento / Riesgo,20.36741317808588,0,1,Distritos
520,19643521933951,S,HAWTHORNE HIGH,CENTINELA VALLEY UNION HIGH,LOS ANGELES,455,159,412.0,406.0,419.0,21.0,13.21,1516,0.8081611689974703,26,34.94505494505494,1237.0,Bajo Rendimiento / Riesgo,17.5,0,1,
521,19643521934926,S,LAWNDALE HIGH,CENTINELA VALLEY UNION HIGH,LOS ANGELES,586,353,410.0,405.0,406.0,38.0,10.76,1516,0.5528319245131152,34,60.238907849829346,1221.0,Bajo Rendimiento / Riesgo,17.235294117647058,0,0,
522,19643521935048,S,LEUZINGER HIGH,CENTINELA VALLEY UNION HIGH,LOS ANGELES,390,229,399.0,409.0,394.0,25.0,10.92,1516,0.42171894834456536,19,58.71794871794872,1202.0,Bajo Rendimiento / Riesgo,20.526315789473685,0,0,
523,19643780000000,D,,CHARTER OAK UNIFIED,LOS ANGELES,485,274,465.0,486.0,451.0,91.0,33.21,1516,0.35195014963803933,0,56.49484536082474,1402.0,Bajo Rendimiento / Riesgo,20.076190476190476,0,0,Distritos
524,19643781931666,S,CHARTER OAK HIGH,CHARTER OAK UNIFIED,LOS ANGELES,408,274,465.0,486.0,451.0,91.0,33.21,1516,0.6003017529096472,20,67.15686274509804,1402.0,Bajo Rendimiento / Riesgo,20.4,0,1,
526,19643940000000,D,,CLAREMONT UNIFIED,LOS ANGELES,562,354,529.0,537.0,526.0,217.0,61.3,1516,0.4632951923740564,0,62.989323843416365,1592.0,Alto Rendimiento,21.266666666666666,0,0,Distritos
527,19643941931823,S,CLAREMONT HIGH,CLAREMONT UNIFIED,LOS ANGELES,522,354,529.0,537.0,526.0,217.0,61.3,1516,0.5319317525211544,30,67.81609195402298,1592.0,Alto Rendimiento,17.4,0,0,
528,19644360000000,D,,COVINA-VALLEY UNIFIED,LOS ANGELES,1141,1088,416.0,426.0,412.0,225.0,20.68,1516,0.5800036145444962,0,95.35495179666958,1254.0,Bajo Rendimiento / Riesgo,22.12706176598521,0,1,Distritos
529,19644361931617,S,FAIRVALLEY HIGH (CONTINUATION),COVINA-VALLEY UNIFIED,LOS ANGELES,87,78,315.0,305.0,313.0,1.0,1.28,1516,0.8090253661435676,5,89.65517241379311,933.0,Bajo Rendimiento / Riesgo,17.4,0,1,
530,19644361932086,S,COVINA HIGH,COVINA-VALLEY UNIFIED,LOS ANGELES,306,292,416.0,429.0,409.0,58.0,19.86,1516,0.42027184646054194,11,95.42483660130719,1254.0,Bajo Rendimiento / Riesgo,27.818181818181817,0,0,
531,19644361936418,S,NORTHVIEW HIGH,COVINA-VALLEY UNIFIED,LOS ANGELES,314,308,405.0,414.0,401.0,43.0,13.96,1516,0.8228333946767399,12,98.08917197452229,1220.0,Bajo Rendimiento / Riesgo,26.166666666666668,0,1,
532,19644361938372,S,SOUTH HILLS HIGH,COVINA-VALLEY UNIFIED,LOS ANGELES,434,410,443.0,457.0,441.0,123.0,30.0,1516,0.7837454493692446,16,94.47004608294931,1341.0,Bajo Rendimiento / Riesgo,27.125,0,1,
533,19644440000000,D,,CULVER CITY UNIFIED,LOS ANGELES,507,301,515.0,512.0,500.0,150.0,49.83,1516,0.46059499469016324,0,59.36883629191322,1527.0,Rendimiento Medio,25.672420634920638,0,0,Distritos
534,19644441932201,S,CULVER CITY HIGH,CULVER CITY UNIFIED,LOS ANGELES,481,301,515.0,512.0,500.0,150.0,49.83,1516,0.2870537943525075,16,62.57796257796257,1527.0,Rendimiento Medio,30.0625,0,0,
535,19644510000000,D,,DOWNEY UNIFIED,LOS ANGELES,2020,981,464.0,469.0,450.0,300.0,30.58,1516,0.5009778217770648,0,48.56435643564356,1383.0,Bajo Rendimiento / Riesgo,24.61446927255751,0,0,Distritos
536,19644511932441,S,DOWNEY HIGH,DOWNEY UNIFIED,LOS ANGELES,992,517,463.0,467.0,450.0,151.0,29.21,1516,0.19855291061261582,66,52.11693548387096,1380.0,Bajo Rendimiento / Riesgo,15.030303030303031,0,0,
537,19644511939164,S,WARREN HIGH,DOWNEY UNIFIED,LOS ANGELES,855,464,464.0,471.0,451.0,149.0,32.11,1516,0.22054460096419864,40,54.26900584795321,1386.0,Bajo Rendimiento / Riesgo,21.375,0,0,
538,19644690000000,D,,DUARTE UNIFIED,LOS ANGELES,327,120,466.0,463.0,446.0,37.0,30.83,1516,0.40072413123429823,0,36.69724770642202,1375.0,Bajo Rendimiento / Riesgo,25.48148148148148,0,0,Distritos
539,19644690128736,S,OPPORTUNITIES FOR LEARNING - DUARTE,DUARTE UNIFIED,LOS ANGELES,82,17,408.0,397.0,422.0,1.0,5.88,1516,0.1627552779560848,3,20.73170731707317,1227.0,Bajo Rendimiento / Riesgo,27.333333333333332,0,0,
540,19644691932482,S,DUARTE HIGH,DUARTE UNIFIED,LOS ANGELES,220,103,475.0,474.0,449.0,36.0,34.95,1516,0.21611007252914988,10,46.81818181818182,1398.0,Bajo Rendimiento / Riesgo,22.0,0,0,
541,19645190000000,D,,EL MONTE UNION HIGH,LOS ANGELES,2326,1048,443.0,467.0,441.0,278.0,26.53,1516,0.49169649851492,0,45.05588993981083,1351.0,Bajo Rendimiento / Riesgo,20.84417389669885,0,0,Distritos
542,19645191930320,S,ARROYO HIGH,EL MONTE UNION HIGH,LOS ANGELES,515,251,464.0,485.0,459.0,86.0,34.26,1516,0.6281047413914498,32,48.737864077669904,1408.0,Rendimiento Medio,16.09375,0,1,
543,19645191932664,S,EL MONTE HIGH,EL MONTE UNION HIGH,LOS ANGELES,438,232,427.0,455.0,429.0,48.0,20.69,1516,0.19983205392216027,24,52.96803652968036,1311.0,Bajo Rendimiento / Riesgo,18.25,0,0,
544,19645191932680,S,MOUNTAIN VIEW HIGH,EL MONTE UNION HIGH,LOS ANGELES,336,145,424.0,432.0,417.0,20.0,13.79,1516,0.3732829412056329,14,43.154761904761905,1273.0,Bajo Rendimiento / Riesgo,24.0,0,0,
545,19645191937481,S,ROSEMEAD HIGH,EL MONTE UNION HIGH,LOS ANGELES,421,251,474.0,509.0,472.0,109.0,43.43,1516,0.7414127176786182,20,59.61995249406176,1455.0,Rendimiento Medio,21.05,0,1,
546,19645191995661,S,SOUTH EL MONTE HIGH,EL MONTE UNION HIGH,LOS ANGELES,330,169,406.0,428.0,407.0,15.0,8.88,1516,0.1662903550150781,15,51.21212121212121,1241.0,Bajo Rendimiento / Riesgo,22.0,0,0,
547,19645270000000,D,,EL RANCHO UNIFIED,LOS ANGELES,740,375,437.0,457.0,422.0,78.0,20.8,1516,0.6844837658438564,0,50.67567567567568,1316.0,Bajo Rendimiento / Riesgo,23.645151828847478,0,1,Distritos
548,19645271932706,S,EL RANCHO HIGH,EL RANCHO UNIFIED,LOS ANGELES,611,375,437.0,457.0,422.0,78.0,20.8,1516,0.720127937812255,40,61.37479541734861,1316.0,Bajo Rendimiento / Riesgo,15.275,0,1,
549,19645350000000,D,,EL SEGUNDO UNIFIED,LOS ANGELES,343,227,524.0,516.0,513.0,128.0,56.39,1516,0.49237912436595527,0,66.1807580174927,1553.0,Alto Rendimiento,22.06547619047619,0,0,Distritos
551,19645351932763,S,EL SEGUNDO HIGH,EL SEGUNDO UNIFIED,LOS ANGELES,330,225,523.0,516.0,512.0,127.0,56.44,1516,0.23271537933515937,16,68.18181818181817,1551.0,Alto Rendimiento,20.625,0,0,
552,19645680000000,D,,GLENDALE UNIFIED,LOS ANGELES,2167,910,532.0,566.0,536.0,605.0,66.48,1516,0.5911740656977492,0,41.99353945546839,1634.0,Alto Rendimiento,23.841764919618182,1,1,Distritos
553,19645681932144,S,CRESCENTA VALLEY HIGH,GLENDALE UNIFIED,LOS ANGELES,674,427,560.0,595.0,569.0,325.0,76.11,1516,0.6377160157549054,39,63.353115727002965,1724.0,Alto Rendimiento,17.28205128205128,0,1,
555,19645681933530,S,GLENDALE HIGH,GLENDALE UNIFIED,LOS ANGELES,639,221,494.0,524.0,488.0,109.0,49.32,1516,0.764230409468937,21,34.58528951486698,1506.0,Rendimiento Medio,30.428571428571427,0,1,
556,19645681934082,S,HERBERT HOOVER HIGH,GLENDALE UNIFIED,LOS ANGELES,391,111,508.0,538.0,506.0,68.0,61.26,1516,0.66454973066272,16,28.388746803069054,1552.0,Alto Rendimiento,24.4375,0,1,
558,19645681996131,S,ANDERSON W. CLARK MAGNET HIGH,GLENDALE UNIFIED,LOS ANGELES,255,147,526.0,566.0,535.0,99.0,67.35,1516,0.34742420079991454,10,57.647058823529406,1627.0,Alto Rendimiento,25.5,0,0,
559,19645760000000,D,,GLENDORA UNIFIED,LOS ANGELES,588,303,532.0,554.0,522.0,209.0,68.98,1516,0.5099644571529571,0,51.53061224489795,1608.0,Alto Rendimiento,22.41025641025641,0,0,Distritos
560,19645761933597,S,GLENDORA HIGH,GLENDORA UNIFIED,LOS ANGELES,552,303,532.0,554.0,522.0,209.0,68.98,1516,0.274207680645806,20,54.891304347826086,1608.0,Alto Rendimiento,27.6,0,0,
561,19645840000000,D,,GORMAN ELEMENTARY,LOS ANGELES,219,36,507.0,484.0,481.0,16.0,44.44,1516,0.5250352216022968,0,16.43835616438356,1472.0,Rendimiento Medio,21.494444444444444,0,0,Distritos
562,19645841996305,S,GORMAN LEARNING CENTER,GORMAN ELEMENTARY,LOS ANGELES,219,36,507.0,484.0,481.0,16.0,44.44,1516,0.6754303261486008,12,16.43835616438356,1472.0,Rendimiento Medio,18.25,0,1,
563,19645920000000,D,,HAWTHORNE,LOS ANGELES,120,118,488.0,512.0,494.0,60.0,50.85,1516,0.605960065872556,0,98.33333333333333,1494.0,Rendimiento Medio,19.047619047619047,0,1,Distritos
564,19645920100354,S,HAWTHORNE MATH AND SCIENCE ACADEMY,HAWTHORNE,LOS ANGELES,120,118,488.0,512.0,494.0,60.0,50.85,1516,0.7147843174870848,6,98.33333333333333,1494.0,Rendimiento Medio,20.0,0,1,
565,19646340000000,D,,INGLEWOOD UNIFIED,LOS ANGELES,811,443,412.0,407.0,401.0,59.0,13.32,1516,0.5499757275029484,0,54.62392108508015,1220.0,Bajo Rendimiento / Riesgo,24.39917929292929,0,0,Distritos
566,19646341934231,S,INGLEWOOD HIGH,INGLEWOOD UNIFIED,LOS ANGELES,283,155,390.0,376.0,374.0,9.0,5.81,1516,0.8433535994004713,12,54.77031802120141,1140.0,Bajo Rendimiento / Riesgo,23.583333333333332,0,1,
567,19646341936046,S,MORNINGSIDE HIGH SCHOOL,INGLEWOOD UNIFIED,LOS ANGELES,239,120,383.0,367.0,373.0,3.0,2.5,1516,0.43883237383799856,11,50.2092050209205,1123.0,Bajo Rendimiento / Riesgo,21.727272727272727,0,0,
568,19646341996529,S,CITY HONORS COLLEGE PREPARATORY ACADEMY,INGLEWOOD UNIFIED,LOS ANGELES,63,58,441.0,409.0,423.0,10.0,17.24,1516,0.41041266005494825,3,92.06349206349206,1273.0,Bajo Rendimiento / Riesgo,21.0,0,0,
569,19646341996586,S,ANIMO INGLEWOOD CHARTER HIGH,INGLEWOOD UNIFIED,LOS ANGELES,137,110,460.0,494.0,458.0,37.0,33.64,1516,0.6934890725193977,6,80.2919708029197,1412.0,Rendimiento Medio,22.833333333333332,0,1,
